Output format is unaligned.
Field separator is "|".
id|symbol|base_asset|quote_asset|exchange|price_precision|quantity_precision|is_active|coingecko_id|market_cap_rank|market_cap_usd|in_universe|last_ranked_at|last_scanned_at|created_at|updated_at|candle_count|snapshot_count|signal_count
331|KCSUSDT|KCS|USDT|kucoin|3|4|t|kucoin-shares|69|910432653.00000000|t|2026-07-28 10:49:41.903315+00|2026-07-28 13:00:45.951755+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
39|QNTUSDT|QNT|USDT|kucoin|3|4|t|quant-network|70|894268792.00000000|t|2026-07-28 10:49:41.904443+00|2026-07-28 11:03:42.255234+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
40|JSTUSDT|JST|USDT|kucoin|5|1|t|just|73|847175070.00000000|t|2026-07-28 10:49:41.905031+00|2026-07-28 11:03:44.071145+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
41|PUMPUSDT|PUMP|USDT|kucoin|6|0|t|pump-fun|76|805019088.00000000|t|2026-07-28 10:49:41.905644+00|2026-07-28 11:03:45.909665+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1883|8|3
42|ENAUSDT|ENA|USDT|kucoin|4|2|t|ethena|77|800340851.00000000|t|2026-07-28 10:49:41.906131+00|2026-07-28 11:03:47.751927+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
43|POLUSDT|POL|USDT|kucoin|4|4|t|polygon-ecosystem-token|78|784529018.00000000|t|2026-07-28 10:49:41.906583+00|2026-07-28 11:03:49.784554+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
332|KASUSDT|KAS|USDT|kucoin|5|4|t|kaspa|79|767269366.00000000|t|2026-07-28 10:49:41.907036+00|2026-07-28 13:00:47.936787+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
44|RENDERUSDT|RENDER|USDT|kucoin|3|2|t|render-token|80|733768448.00000000|t|2026-07-28 10:49:41.909509+00|2026-07-28 11:03:51.731976+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
46|ALGOUSDT|ALGO|USDT|kucoin|4|4|t|algorand|81|723969791.00000000|t|2026-07-28 10:49:41.910045+00|2026-07-28 11:03:53.529807+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
47|ATOMUSDT|ATOM|USDT|kucoin|4|4|t|cosmos|85|681783483.00000000|t|2026-07-28 10:49:41.9106+00|2026-07-28 11:03:55.332681+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
333|BDXUSDT|BDX|USDT|kucoin|5|4|t|beldex|88|642305336.00000000|t|2026-07-28 10:49:41.911177+00|2026-07-28 13:00:50.037221+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
49|JUPUSDT|JUP|USDT|kucoin|4|4|t|jupiter-exchange-solana|90|606453094.00000000|t|2026-07-28 10:49:41.913763+00|2026-07-28 11:03:57.181421+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
334|VVVUSDT|VVV|USDT|kucoin|3|2|t|venice-token|91|591200935.00000000|t|2026-07-28 10:49:41.914308+00|2026-07-28 13:00:52.122716+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
50|FILUSDT|FIL|USDT|kucoin|4|4|t|filecoin|92|562960659.00000000|t|2026-07-28 10:49:41.915891+00|2026-07-28 11:03:58.923174+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2003|8|3
335|XDCUSDT|XDC|USDT|kucoin|5|4|t|xdce-crowd-sale|94|544164187.00000000|t|2026-07-28 10:49:41.916415+00|2026-07-28 13:00:54.109625+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
336|LITUSDT|LIT|USDT|kucoin|3|2|t|lighter|95|542525451.00000000|t|2026-07-28 10:49:41.917767+00|2026-07-28 13:00:55.704542+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|1509|6|2
337|FLRUSDT|FLR|USDT|kucoin|5|4|t|flare-networks|96|542223805.00000000|t|2026-07-28 10:49:41.918802+00|2026-07-28 13:00:57.67956+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
51|ARBUSDT|ARB|USDT|kucoin|4|4|t|arbitrum|98|513275797.00000000|t|2026-07-28 10:49:41.919793+00|2026-07-28 10:55:22.450774+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
52|APTUSDT|APT|USDT|kucoin|4|4|t|aptos|99|493619456.00000000|t|2026-07-28 10:49:41.92031+00|2026-07-28 10:55:24.389014+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
53|INJUSDT|INJ|USDT|kucoin|3|4|t|injective-protocol|102|462487351.00000000|t|2026-07-28 10:49:41.921023+00|2026-07-28 10:55:26.327605+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
54|CAKEUSDT|CAKE|USDT|kucoin|3|4|t|pancakeswap-token|105|441041091.00000000|t|2026-07-28 10:49:41.924974+00|2026-07-28 10:55:28.066012+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
55|AEROUSDT|AERO|USDT|kucoin|4|2|t|aerodrome-finance|106|434046955.00000000|t|2026-07-28 10:49:41.925493+00|2026-07-28 10:55:29.986718+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2000|6|2
57|DASHUSDT|DASH|USDT|kucoin|2|4|t|dash|107|397962502.00000000|t|2026-07-28 10:49:41.926536+00|2026-07-28 10:55:33.776669+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
56|ETHFIUSDT|ETHFI|USDT|kucoin|4|2|t|ether-fi|108|397984571.00000000|t|2026-07-28 10:49:41.926062+00|2026-07-28 10:55:31.869279+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
